#separator:tab
#html:true
"Required Inspections
<ul>
<li>A - <span class=""cloze"" data-cloze=""Annual"" data-ordinal=""1"">[...]</span></li>
<li>1 - <span class=""cloze-inactive"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze-inactive"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze-inactive"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze-inactive"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze-inactive"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul>"	"Required Inspections
<ul>
<li>A - <span class=""cloze"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze-inactive"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze-inactive"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze-inactive"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze-inactive"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze-inactive"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul><br>
"
"Required Inspections
<ul>
<li>A - <span class=""cloze-inactive"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze"" data-cloze=""100&#x20;hour"" data-ordinal=""2"">[...]</span></li>
<li>T - <span class=""cloze-inactive"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze-inactive"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze-inactive"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze-inactive"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul>"	"Required Inspections
<ul>
<li>A - <span class=""cloze-inactive"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze-inactive"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze-inactive"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze-inactive"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze-inactive"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul><br>
"
"Required Inspections
<ul>
<li>A - <span class=""cloze-inactive"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze-inactive"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze"" data-cloze=""Transponder"" data-ordinal=""3"">[...]</span></li>
<li>A - <span class=""cloze-inactive"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze-inactive"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze-inactive"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul>"	"Required Inspections
<ul>
<li>A - <span class=""cloze-inactive"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze-inactive"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze-inactive"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze-inactive"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze-inactive"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul><br>
"
"Required Inspections
<ul>
<li>A - <span class=""cloze-inactive"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze-inactive"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze-inactive"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze"" data-cloze=""Altimeter"" data-ordinal=""4"">[...]</span></li>
<li>P - <span class=""cloze-inactive"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze-inactive"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul>"	"Required Inspections
<ul>
<li>A - <span class=""cloze-inactive"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze-inactive"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze-inactive"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze-inactive"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze-inactive"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul><br>
"
"Required Inspections
<ul>
<li>A - <span class=""cloze-inactive"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze-inactive"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze-inactive"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze-inactive"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze"" data-cloze=""Pitot&#x2D;static"" data-ordinal=""5"">[...]</span></li>
<li>E - <span class=""cloze-inactive"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul>"	"Required Inspections
<ul>
<li>A - <span class=""cloze-inactive"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze-inactive"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze-inactive"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze-inactive"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze-inactive"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul><br>
"
"Required Inspections
<ul>
<li>A - <span class=""cloze-inactive"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze-inactive"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze-inactive"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze-inactive"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze-inactive"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze"" data-cloze=""ELT"" data-ordinal=""6"">[...]</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul>"	"Required Inspections
<ul>
<li>A - <span class=""cloze-inactive"" data-ordinal=""1"">Annual</span></li>
<li>1 - <span class=""cloze-inactive"" data-ordinal=""2"">100 hour</span></li>
<li>T - <span class=""cloze-inactive"" data-ordinal=""3"">Transponder</span></li>
<li>A - <span class=""cloze-inactive"" data-ordinal=""4"">Altimeter</span></li>
<li>P - <span class=""cloze-inactive"" data-ordinal=""5"">Pitot-static</span></li>
<li>E - <span class=""cloze"" data-ordinal=""6"">ELT</span></li><li><span class=""cloze-inactive"" data-ordinal=""7"">50-hour oil change</span></li><li><span class=""cloze-inactive"" data-ordinal=""8"">Preflight</span></li>
</ul><br>
"
"The transponder must be inspected every <span class=""cloze"" data-cloze=""24&#x20;calendar&#x20;months"" data-ordinal=""1"">[...]</span>."	"The transponder must be inspected every <span class=""cloze"" data-ordinal=""1"">24 calendar months</span>.<br>
"
"The altimeter must be inspected every <span class=""cloze"" data-cloze=""24&#x20;calendar&#x20;months"" data-ordinal=""1"">[...]</span>."	"The altimeter must be inspected every <span class=""cloze"" data-ordinal=""1"">24 calendar months</span>.<br>
"
"The pitot-static system must be inspected every <span class=""cloze"" data-cloze=""24&#x20;calendar&#x20;months"" data-ordinal=""1"">[...]</span>."	"The pitot-static system must be inspected every <span class=""cloze"" data-ordinal=""1"">24 calendar months</span>.<br>
"
"The ELT must be inspected every <span class=""cloze"" data-cloze=""12&#x20;calendar&#x20;months"" data-ordinal=""1"">[...]</span>."	"The ELT must be inspected every <span class=""cloze"" data-ordinal=""1"">12 calendar months</span>.<br>
"
"The two parts of the ELT that must be inspected are the <span class=""cloze"" data-cloze=""antenna"" data-ordinal=""1"">[...]</span> and the <span class=""cloze-inactive"" data-ordinal=""2"">battery</span>."	"The two parts of the ELT that must be inspected are the <span class=""cloze"" data-ordinal=""1"">antenna</span> and the <span class=""cloze-inactive"" data-ordinal=""2"">battery</span>.<br>
"
